"species","precip","temp"
27,"Wet","Cold"
9,"Wet","Hot"
23,"Wet","Cold"
10,"Wet","Hot"
21,"Wet","Cold"
12,"Wet","Hot"
28,"Wet","Cold"
8,"Wet","Hot"
23,"Wet","Cold"
11,"Wet","Hot"
20,"Wet","Cold"
10,"Wet","Hot"
24,"Wet","Cold"
12,"Wet","Hot"
21,"Wet","Cold"
12,"Wet","Hot"
26,"Wet","Cold"
8,"Wet","Hot"
22,"Wet","Cold"
10,"Wet","Hot"
21,"Wet","Cold"
11,"Wet","Hot"
25,"Wet","Cold"
9,"Wet","Hot"
17,"Dry","Cold"
18,"Dry","Hot"
25,"Dry","Cold"
15,"Dry","Hot"
15,"Dry","Cold"
16,"Dry","Hot"
21,"Dry","Cold"
22,"Dry","Hot"
21,"Dry","Cold"
17,"Dry","Hot"
20,"Dry","Cold"
17,"Dry","Hot"
19,"Dry","Cold"
18,"Dry","Hot"
21,"Dry","Cold"
17,"Dry","Hot"
19,"Dry","Cold"
20,"Dry","Hot"
21,"Dry","Cold"
18,"Dry","Hot"
19,"Dry","Cold"
15,"Dry","Hot"
21,"Dry","Cold"
17,"Dry","Hot"
