"x","y","elevation","forest","water"
485500,109500,340,6,"No"
485500,110500,340,11,"Yes"
486500,109500,380,4,"No"
486500,110500,390,72,"Yes"
486500,111500,357,9,"Yes"
486500,112500,357,5,"Yes"
486500,116500,500,0,"No"
486500,117500,472,43,"No"
486500,118500,462,6,"No"
486500,119500,472,0,"No"
487500,110500,401,30,"No"
487500,111500,362,12,"No"
487500,112500,367,4,"No"
487500,113500,379,5,"Yes"
487500,114500,382,12,"Yes"
487500,116500,483,0,"No"
487500,117500,464,30,"No"
487500,118500,456,14,"No"
487500,119500,450,4,"No"
488500,111500,390,2,"Yes"
488500,112500,414,8,"No"
488500,113500,411,2,"No"
488500,114500,364,7,"Yes"
488500,115500,394,7,"Yes"
488500,116500,422,2,"No"
488500,117500,435,28,"Yes"
488500,118500,416,33,"Yes"
488500,119500,420,22,"Yes"
488500,120500,430,2,"No"
489500,111500,408,5,"No"
489500,112500,425,1,"No"
489500,113500,426,0,"No"
489500,114500,415,21,"Yes"
489500,115500,369,15,"Yes"
489500,116500,393,36,"Yes"
489500,117500,425,27,"Yes"
489500,118500,455,27,"No"
489500,119500,449,60,"No"
489500,120500,428,29,"No"
490500,110500,431,1,"No"
490500,111500,436,6,"Yes"
490500,112500,436,0,"No"
490500,113500,431,6,"No"
490500,114500,428,16,"No"
490500,115500,365,27,"Yes"
490500,116500,391,1,"No"
490500,117500,418,18,"No"
490500,118500,461,0,"No"
490500,119500,487,4,"No"
490500,120500,451,13,"No"
490500,121500,436,3,"No"
491500,110500,447,5,"No"
491500,111500,445,0,"No"
491500,112500,439,1,"Yes"
491500,113500,442,0,"No"
491500,114500,434,4,"No"
491500,115500,406,37,"Yes"
491500,116500,372,30,"Yes"
491500,117500,394,8,"Yes"
491500,118500,416,3,"No"
491500,119500,456,1,"No"
491500,120500,479,1,"No"
491500,121500,448,0,"No"
492500,110500,457,0,"No"
492500,111500,449,0,"No"
492500,112500,452,7,"No"
492500,113500,453,20,"No"
492500,114500,433,5,"No"
492500,115500,412,38,"No"
492500,116500,376,9,"Yes"
492500,117500,377,5,"Yes"
492500,118500,412,55,"Yes"
492500,119500,417,2,"Yes"
492500,120500,435,1,"No"
492500,121500,455,0,"No"
493500,112500,421,2,"No"
493500,113500,453,0,"No"
493500,114500,441,0,"No"
493500,115500,406,10,"No"
493500,116500,398,40,"Yes"
493500,117500,384,3,"No"
493500,118500,419,52,"No"
493500,119500,426,0,"No"
493500,120500,420,0,"No"
493500,121500,436,2,"No"
493500,122500,450,17,"No"
494500,111500,424,3,"No"
494500,112500,416,5,"Yes"
494500,113500,422,0,"Yes"
494500,114500,464,0,"No"
494500,115500,417,2,"No"
494500,116500,402,37,"Yes"
494500,117500,388,33,"Yes"
494500,118500,422,7,"No"
494500,119500,433,0,"No"
494500,120500,435,1,"No"
494500,121500,421,6,"No"
494500,122500,426,6,"No"
494500,141500,1306,17,"No"
494500,142500,1311,5,"No"
495500,111500,441,0,"No"
495500,112500,433,0,"No"
495500,113500,408,4,"Yes"
495500,114500,425,2,"No"
495500,115500,428,0,"No"
495500,116500,412,51,"Yes"
495500,117500,397,19,"Yes"
495500,118500,389,17,"Yes"
495500,119500,437,1,"No"
495500,120500,435,1,"No"
495500,121500,435,1,"No"
495500,122500,425,7,"Yes"
495500,141500,1348,6,"No"
495500,142500,1388,34,"No"
495500,143500,1290,16,"No"
495500,144500,1236,0,"No"
495500,145500,1235,34,"No"
495500,146500,1208,19,"No"
495500,147500,1169,7,"No"
496500,111500,466,0,"No"
496500,112500,439,0,"No"
496500,113500,406,0,"No"
496500,114500,401,5,"Yes"
496500,115500,426,0,"No"
496500,116500,396,30,"Yes"
496500,117500,399,10,"Yes"
496500,118500,406,41,"Yes"
496500,119500,416,12,"No"
496500,120500,425,1,"No"
