"x","y","elevation","forest","chaparral","habitat","seeds"
230736.7,3774324.4,241,0,0,"Oak","Low"
231036.7,3774324.4,323,0,0,"Pine","Med"
231336.7,3774324.4,277,0,0,"Pine","High"
230436.7,3774024.4,13,0,0,"Oak","Med"
230736.7,3774024.4,590,0,0,"Oak","High"
231036.7,3774024.4,533,0,0,"Oak","Low"
231336.7,3774024.4,378,0,0,"Oak","Low"
231636.7,3774024.4,329,0,0.02,"Oak","Med"
231936.7,3774024.4,265,0,0.01,"Oak","Low"
232236.7,3774024.4,282,0,0.02,"Oak","Med"
232536.7,3774024.4,220,0,0.03,"Oak","Med"
232836.7,3774024.4,268,0,0.01,"Oak","Low"
233136.7,3774024.4,153,0,0,"Oak","Med"
233436.7,3774024.4,232,0,0.02,"Oak","Med"
233736.7,3774024.4,299,0,0.04,"Oak","Low"
234336.7,3774024.4,30,0,0.03,"Oak","Med"
230436.7,3773724.4,266,0,0,"Pine","Med"
230736.7,3773724.4,390,0,0,"Oak","Med"
231036.7,3773724.4,532,0,0,"Pine","Med"
231336.7,3773724.4,716,0,0,"Pine","Low"
231636.7,3773724.4,575,0,0.04,"Oak","Med"
231936.7,3773724.4,419,0,0.05,"Oak","Low"
232236.7,3773724.4,386,0,0.09,"Bare","Med"
232536.7,3773724.4,342,0,0.12,"Pine","Med"
232836.7,3773724.4,333,0,0.03,"Pine","Low"
233136.7,3773724.4,346,0,0.02,"Oak","High"
233436.7,3773724.4,400,0,0.13,"Pine","Med"
233736.7,3773724.4,416,0,0.32,"Bare","Med"
234036.7,3773724.4,396,0,0.43,"Oak","Low"
234336.7,3773724.4,378,0,0.36,"Oak","Med"
234636.7,3773724.4,391,0,0.31,"Oak","Low"
234936.7,3773724.4,358,0,0.18,"Bare","Med"
235236.7,3773724.4,230,0,0.14,"Pine","Med"
235536.7,3773724.4,19,0,0.18,"Pine","Low"
235836.7,3773724.4,224,0,0.24,"Oak","Med"
236136.7,3773724.4,36,0,0.16,"Oak","Low"
230436.7,3773424.4,54,0,0,"Oak","High"
230736.7,3773424.4,175,0,0,"Oak","High"
231036.7,3773424.4,284,0,0,"Pine","Med"
231336.7,3773424.4,365,0,0,"Oak","High"
231636.7,3773424.4,524,0,0.01,"Bare","Med"
231936.7,3773424.4,768,0,0.06,"Oak","Med"
232236.7,3773424.4,641,0,0.22,"Pine","Med"
232536.7,3773424.4,502,0,0.28,"Pine","Low"
232836.7,3773424.4,462,0,0.21,"Oak","Med"
233136.7,3773424.4,516,0,0.15,"Pine","Med"
233436.7,3773424.4,578,0,0.26,"Pine","Low"
233736.7,3773424.4,575,0,0.42,"Pine","Med"
234036.7,3773424.4,525,0,0.55,"Oak","Med"
234336.7,3773424.4,486,0,0.61,"Oak","Med"
234636.7,3773424.4,440,0,0.58,"Oak","Med"
234936.7,3773424.4,455,0,0.33,"Pine","Med"
235236.7,3773424.4,402,0,0.4,"Oak","Med"
235536.7,3773424.4,289,0,0.46,"Oak","High"
235836.7,3773424.4,439,0,0.6,"Oak","Low"
236136.7,3773424.4,367,0,0.55,"Pine","Low"
236436.7,3773424.4,395,0,0.45,"Pine","Low"
236736.7,3773424.4,359,0,0.18,"Pine","Med"
230736.7,3773124.4,56,0,0,"Oak","Med"
231036.7,3773124.4,158,0,0,"Pine","Med"
231336.7,3773124.4,267,0,0,"Bare","Low"
231636.7,3773124.4,317,0,0,"Pine","Low"
231936.7,3773124.4,370,0,0,"Oak","Med"
232236.7,3773124.4,564,0,0.08,"Oak","Med"
232536.7,3773124.4,655,0,0.1,"Oak","Med"
232836.7,3773124.4,775,0,0.11,"Oak","Med"
233136.7,3773124.4,888,0,0.09,"Oak","Low"
233436.7,3773124.4,965,0,0.1,"Oak","Low"
233736.7,3773124.4,1011,0,0.13,"Bare","Med"
234036.7,3773124.4,740,0,0.24,"Oak","Low"
234336.7,3773124.4,640,0,0.41,"Oak","Med"
234636.7,3773124.4,573,0,0.53,"Pine","Med"
234936.7,3773124.4,419,0,0.37,"Oak","High"
235236.7,3773124.4,423,0,0.49,"Oak","Med"
235536.7,3773124.4,465,0,0.56,"Pine","Low"
235836.7,3773124.4,549,0,0.59,"Oak","Low"
236136.7,3773124.4,479,0,0.5,"Oak","High"
236436.7,3773124.4,547,0,0.52,"Oak","Med"
236736.7,3773124.4,532,0,0.38,"Oak","Low"
237036.7,3773124.4,215,0,0.25,"Oak","Med"
237336.7,3773124.4,313,0,0.23,"Oak","Med"
230436.7,3772824.4,0,0,0.01,"Oak","Med"
230736.7,3772824.4,63,0,0.02,"Pine","Med"
231036.7,3772824.4,89,0,0.01,"Oak","Med"
231336.7,3772824.4,109,0,0,"Oak","High"
231636.7,3772824.4,121,0,0,"Oak","Low"
231936.7,3772824.4,182,0,0,"Oak","Med"
232236.7,3772824.4,215,0,0,"Oak","Low"
232536.7,3772824.4,339,0,0.06,"Oak","Med"
232836.7,3772824.4,460,0,0.08,"Oak","Med"
233136.7,3772824.4,560,0,0.06,"Oak","Low"
233436.7,3772824.4,873,0,0.01,"Pine","Med"
233736.7,3772824.4,1129,0,0,"Oak","Low"
234036.7,3772824.4,1094,0,0.08,"Oak","Med"
234336.7,3772824.4,812,0,0.2,"Pine","Med"
234636.7,3772824.4,761,0,0.22,"Oak","Med"
234936.7,3772824.4,548,0,0.28,"Oak","Low"
235236.7,3772824.4,587,0,0.46,"Oak","Med"
235536.7,3772824.4,510,0,0.41,"Pine","Med"
