"yield","herbicide","fertilizer","field"
16.3095647144493,"1","A","field1"
16.3159351933359,"1","B","field1"
18.2152076582853,"1","C","field1"
21.3826520743405,"1","D","field1"
16.8671391278613,"1","A","field2"
16.4294580983278,"1","B","field2"
18.8103400004747,"1","C","field2"
22.6679742754945,"1","D","field2"
15.5432223644885,"1","A","field3"
15.6424411856284,"1","B","field3"
17.1136809265484,"1","C","field3"
21.6680095094147,"1","D","field3"
16.1413110345481,"1","A","field4"
15.0794883156836,"1","B","field4"
18.1617332458858,"1","C","field4"
21.6693717115888,"1","D","field4"
17.1179645813187,"1","A","field5"
17.0800517395993,"1","B","field5"
18.4601930030639,"1","C","field5"
22.4477511657866,"1","D","field5"
17.2285147724852,"2","A","field6"
16.8660535244074,"2","B","field6"
19.607129690422,"2","C","field6"
23.9583902306449,"2","D","field6"
19.6165815816004,"2","A","field7"
19.2938079999747,"2","B","field7"
21.4190167252353,"2","C","field7"
25.0345627585642,"2","D","field7"
18.9621818646732,"2","A","field8"
18.7373128134021,"2","B","field8"
19.927480402081,"2","C","field8"
24.812578122481,"2","D","field8"
18.9069473304811,"2","A","field9"
18.7049681517545,"2","B","field9"
19.9793837696233,"2","C","field9"
25.2338592508795,"2","D","field9"
16.9627321080409,"2","A","field10"
17.3377295832187,"2","B","field10"
19.5813247193944,"2","C","field10"
23.6243523477888,"2","D","field10"
20.9504640234585,"3","A","field11"
19.6305682343601,"3","B","field11"
22.1652557208457,"3","C","field11"
26.1091853160454,"3","D","field11"
20.8163290352192,"3","A","field12"
20.4127426150273,"3","B","field12"
21.5294830298818,"3","C","field12"
25.9729397860596,"3","D","field12"
19.6353292431371,"3","A","field13"
20.0602107415164,"3","B","field13"
21.5092200013773,"3","C","field13"
25.6314766248469,"3","D","field13"
19.4939013603745,"3","A","field14"
20.3623998957959,"3","B","field14"
22.4985404167755,"3","C","field14"
25.9675420036952,"3","D","field14"
20.2960919940038,"3","A","field15"
20.159839162407,"3","B","field15"
21.9959732190219,"3","C","field15"
25.5151981723248,"3","D","field15"
