"presence","abundance","elevation","habitat","sim.star"
0,0,58,"Oak",1
0,3,191,"Oak",0
0,0,43,"Oak",0
1,15,374,"Oak",12
1,7,337,"Oak",9
0,0,64,"Oak",1
1,1,195,"Oak",0
0,1,263,"Oak",5
1,3,181,"Oak",2
1,3,59,"Oak",1
1,60,489,"Maple",48
1,9,317,"Maple",10
0,0,12,"Maple",0
1,4,245,"Maple",7
1,38,474,"Maple",62
0,0,83,"Maple",1
1,42,467,"Maple",42
1,52,485,"Maple",48
1,12,335,"Maple",8
1,1,20,"Maple",1
1,31,430,"Pine",19
0,1,223,"Pine",1
0,0,68,"Pine",0
1,47,483,"Pine",46
1,0,78,"Pine",1
1,4,214,"Pine",0
0,1,64,"Pine",1
0,2,73,"Pine",1
1,3,162,"Pine",0
1,40,468,"Pine",45
